id,backbone,reference_image,reference_patch,option_cos_image,option_cos_patch,option_l2_image,option_l2_patch,option_cos_act_vals,option_cos_act_percs,option_l2_act_vals,option_l2_act_percs
row0_img_idx416_neat-cloud_neat-cloud_best_lively-temple_lively-temple_best_densenet161,densenet161,val_cropped/140.Summer_Tanager/Summer_Tanager_0046_139802.jpg,"[62, 31, 135, 81]",train_cropped/140.Summer_Tanager/Summer_Tanager_0111_139605.jpg,"[100, 31, 148, 64]",train_cropped/140.Summer_Tanager/Summer_Tanager_0099_139310.jpg,"[30, 0, 95, 58]",0.944456160068512,100.0,3.373207330703736,100.0
row0_img_idx302_neat-cloud_neat-cloud_best_lively-temple_lively-temple_best_densenet161,densenet161,val_cropped/101.White_Pelican/White_Pelican_0075_96422.jpg,"[85, 54, 154, 111]",train_cropped/141.Artic_Tern/Artic_Tern_0050_140887.jpg,"[113, 73, 199, 140]",train_cropped/059.California_Gull/California_Gull_0025_41479.jpg,"[112, 0, 224, 58]",0.8322228789329529,98.82154846191406,2.0870068073272705,99.1582489013672
row0_img_idx564_neat-cloud_neat-cloud_best_lively-temple_lively-temple_best_densenet161,densenet161,val_cropped/190.Red_cockaded_Woodpecker/Red_Cockaded_Woodpecker_0059_794709.jpg,"[37, 59, 71, 136]",train_cropped/190.Red_cockaded_Woodpecker/Red_Cockaded_Woodpecker_0062_182371.jpg,"[38, 63, 75, 183]",train_cropped/190.Red_cockaded_Woodpecker/Red_Cockaded_Woodpecker_0039_794736.jpg,"[34, 61, 71, 109]",0.9572299718856812,100.0,3.138246297836304,100.0
row0_img_idx444_neat-cloud_neat-cloud_best_lively-temple_lively-temple_best_densenet161,densenet161,val_cropped/150.Sage_Thrasher/Sage_Thrasher_0071_155642.jpg,"[206, 72, 299, 152]",train_cropped/194.Cactus_Wren/Cactus_Wren_0016_185582.jpg,"[177, 57, 279, 148]",train_cropped/150.Sage_Thrasher/Sage_Thrasher_0075_155527.jpg,"[80, 70, 139, 127]",0.7685226202011108,99.83164978027344,1.948309302330017,99.32659912109376
row0_img_idx316_neat-cloud_neat-cloud_best_lively-temple_lively-temple_best_densenet161,densenet161,val_cropped/106.Horned_Puffin/Horned_Puffin_0028_100765.jpg,"[178, 25, 257, 79]",train_cropped/106.Horned_Puffin/Horned_Puffin_0030_100725.jpg,"[28, 65, 98, 124]",train_cropped/106.Horned_Puffin/Horned_Puffin_0046_100785.jpg,"[69, 89, 164, 187]",0.9376206994056702,99.83164978027344,1.8988285064697263,100.0
row0_img_idx244_neat-cloud_neat-cloud_best_lively-temple_lively-temple_best_densenet161,densenet161,val_cropped/082.Ringed_Kingfisher/Ringed_Kingfisher_0071_72958.jpg,"[80, 68, 140, 132]",train_cropped/030.Fish_Crow/Fish_Crow_0024_26064.jpg,"[85, 31, 129, 64]",train_cropped/049.Boat_tailed_Grackle/Boat_Tailed_Grackle_0082_33488.jpg,"[55, 88, 141, 146]",0.9425147771835328,99.66329956054688,2.550074338912964,100.0
row0_img_idx345_neat-cloud_neat-cloud_best_lively-temple_lively-temple_best_densenet161,densenet161,val_cropped/116.Chipping_Sparrow/Chipping_Sparrow_0038_109234.jpg,"[131, 42, 210, 81]",train_cropped/133.White_throated_Sparrow/White_Throated_Sparrow_0113_128936.jpg,"[58, 85, 105, 183]",train_cropped/148.Green_tailed_Towhee/Green_Tailed_Towhee_0001_797412.jpg,"[47, 48, 117, 116]",0.7705321907997131,98.6531982421875,2.013906478881836,100.0
row0_img_idx187_neat-cloud_neat-cloud_best_lively-temple_lively-temple_best_densenet161,densenet161,val_cropped/063.Ivory_Gull/Ivory_Gull_0065_49566.jpg,"[145, 158, 222, 248]",train_cropped/141.Artic_Tern/Artic_Tern_0050_140887.jpg,"[113, 73, 199, 140]",train_cropped/062.Herring_Gull/Herring_Gull_0141_47184.jpg,"[161, 246, 337, 308]",0.887532114982605,98.98989868164062,1.8056490421295168,97.47474670410156
row0_img_idx87_neat-cloud_neat-cloud_best_lively-temple_lively-temple_best_densenet161,densenet161,val_cropped/030.Fish_Crow/Fish_Crow_0001_26031.jpg,"[60, 30, 139, 88]",train_cropped/030.Fish_Crow/Fish_Crow_0024_26064.jpg,"[85, 31, 129, 64]",train_cropped/029.American_Crow/American_Crow_0074_25350.jpg,"[82, 0, 242, 112]",0.906623125076294,98.82154846191406,3.205122232437134,100.0
row0_img_idx237_neat-cloud_neat-cloud_best_lively-temple_lively-temple_best_densenet161,densenet161,val_cropped/080.Green_Kingfisher/Green_Kingfisher_0048_71164.jpg,"[47, 28, 87, 56]",train_cropped/079.Belted_Kingfisher/Belted_Kingfisher_0111_70375.jpg,"[122, 57, 211, 111]",train_cropped/137.Cliff_Swallow/Cliff_Swallow_0044_133927.jpg,"[189, 84, 266, 161]",0.7309964299201965,99.66329956054688,1.4809058904647827,92.59259033203124
